code,credits,prerequisites,gen_ed
NUE391,3,permission of instructor,
NUE392,3,NUE 391 and permission of instructor,
NUE471,3,MTH 244 or permission of instructor,
NUE473,3,MTH 244 or permission of instructor,
NUE474,3,MTH 244 or permission of instructor,
NUE475,3,"MCE 471 / CHE 471 or  NUE 391, or permission of instructor",
NUR100,3,NUR code or permission of instructor,
NUR150,3,,"A2, C3"
NUR150H,3,,"A2, C3"
NUR160,3,,B4
NUR203,3,"Credit in BIO 222, BIO 223, CHM 124, NUR 100, WRT 104 or 106, and concurrent enrollment in NUR 213 and credit or concurrent enrollment in CMB 201 and NFS 207 and permission of instructor",
NUR207G,3,Sophomore or higher standing,A2
NUR208,3,"NUR 203, NUR 213, CMB 201, NUT 207",
NUR213,3,"Credit in BIO 222, BIO 223, CHM 124, NUR 100, WRT 104 or 106 and concurrent enrollment in NUR 203 and credit or concurrent enrollment in CMB 201 and NUT 207 and permission of instructor",
NUR233,3,"NUR 203, NUR 213, CMB 201, NUT 207 and concurrent enrollment in NUR 234, credit or concurrent enrollment in NUR 243, STA 220, and NUR 208",
NUR234,3,"Credit in NUR 203, NUR 213, CMB 201, NFS 207 and concurrent enrollment in NUR 233, credit or concurrent enrollment in NUR 243 and NUR 208 and STA 220",
NUR243,3,"Credit in NUR 203, NUR 213, CMB 201, NUT 207",
NUR246,2,"Licensed Registered Nurse, or new graduate from RN program",
NUR247,3,RN licensure,
NUR252,3,,
NUR253,3,"Credit in NUR 233, NUR 234, NUR 243, NUR 208 and STA 220",
NUR260H,3,must have a 3.40 overall GPA,"A2, C3"
NUR280G,3,,C3
NUR313,3,"NUR 233, NUR 234, NUR 243, and NUR 208; concurrent with NUR 314; and credit or concurrent enrollment in NUR 253",
NUR314,3,"Credit in NUR 233, NUR 234, NUR 243, NUR 208 and STA 220 and concurrent enrollment in NUR 313 and credit or concurrent enrollment in NUR 253",
NUR327,3,Sophomore standing (A2),A2
NUR333,3,"Credit in NUR 253, NUR 313, NUR 314 and Concurrent enrollment in NUR 334, NUR 353, NUR 354",
NUR334,3,"Credit in NUR 253, NUR 313, NUR 314 and concurrent enrollment in NUR 333, NUR 353, NUR 354",
NUR346,4,Licensed Registered Nurse,
NUR347,3,"NUR 247, NUR 253, RN licensure",
NUR353,4,"Credit in NUR 253, NUR 313, NUR 314 and concurrent enrollment in NUR 333, NUR 334, NUR 354",
NUR354,3,"Credit in NUR 253, NUR 313, NUR 314 and concurrent enrollment in NUR 333, NUR 334, NUR 353",
NUR381G,3,,"B4, D1"
NUR382G,3,Junior or senior standing,D1
NUR383,3,Sophomore standing,"D1, C3"
NUR390,3,admission to the College of Nursing and prior faculty approval,
NUR412,3,"NUR 353, NUR 354, NUR333, NUR 334, concurrent with NUR 443 and NUR 444",
NUR413,3,"NUR 443, NUR 444, NUR 412 and credit or concurrent enrollment in NUR 415 and NUR 417",
NUR415,3,,
NUR417,6,"Credit in NUR 412, NUR 443, NUR 444 and concurrent enrollment in NUR 413 and NUR 415",
NUR425,3,one prior thanatology course or permission of instructor,
NUR427,3,permission of instructor,
NUR429,3,One prior thanatology course or permission of the instructor,
NUR441,3,Not for students with credit in NUR443,
NUR442,3,Credit or concurrent enrollment in NUR247 and NUR441,"D1, C1"
NUR443,3,"NUR333, NUR334, NUR353, NUR354 and concurrent enrollment in NUR412 and NUR444",
NUR444,3,"Credit in NUR 333, NUR 334, NUR 353, NUR 354 and concurrent enrollment in NUR 412 and NUR 443","D1, C1"
NUR446,4,NUR 246 and NUR 253,
NUR447,3,"NUR 247, NUR 253, RN license",
NUR448,3,NUR 246 and NUR 253 are prerequisites,
NUR995,6,graduate standing,
NUT110,1,Nutrition or Dietetics major or minor,
NUT207,3,,"B3, A1"
NUT207H,3,,"B3, A1"
NUT210,1,Credit or concurrent enrollment in NUT 207,
NUT212G,3,NUT 207,"C3, A2"
NUT245,3,,
NUT336,4,NUT207 and NUT210 and CHM124 or CHM227,
NUT337,4,NUT336,
NUT360,3,NUT 207 and KIN 275 or 300 or BIO 222,
NUT375,3,NUT 207 and NUT 212G or 276G; credit or concurrent enrollment in NUT 210,
NUT376,4,NUT (NFS) 375,
NUT394,3,NFS 212G or 276G,
NUT395,3,NUT (NFS) 394,
NUT404,3,Senior in good standing or permission of instructor,"D1, B4"
NUT410,1,Nutrition or Dietetics major or minor and senior standing or permission of instructor,
NUT440,3,"C or higher in NUT (NFS) 207 and 210 and BIO 222, and CMB 210 or CMB 311, or permission of instructor",
NUT441,3,NFS 207; junior standing or above; credit or concurrent enrollment in BIO 222 and CMB 210 or 311,
NUT443,4,"NFS 207, 210 and 395, or permission of instructor",
NUT444,3,"NFS 441 and 443, or enrollment in Pharm",
NUT445,3,"NUT 441, 443 and 444",
NUT446,3,"Enrolled in PharmD program, or by permission of instructor",
NUT451,3,NUT (NFS) 394 or permission of instructor,
NUT458,3,"NUT (NFS) 395 or 440, or permission of instructor","B2, D1"
NUT491,3,senior standing or permission of instructor,
NUT495,3,permission of instructor,
NUT496,3,By permission of instructor,
NUT497,3,NUT 495 or by permission of instructor,
NVP200,1,,
NVP399G,3,,A2
NVP425,3,"Prior coursework in psychology, or permission of instructor",
OCE101,1,,
OCE205,4,EGR 106 or permission of instructor,
OCE206,3,"OCE 205, PHY 204 and PHY 274 (or PHY 204H, 274H), or permission of instructor",
OCE213,3,MTH 243 ) or permission of instructor,
OCE301,4,"MTH 244, MCE 263, CVE 220, OCE 206, and OCE 213 or permission of instructor",
OCE311,4,"OCE 206 and MCE 354, or permission of instructor",
OCE315,1,Credit or concurrent enrollment in MCE 354 or permission of instructor,
OCE360,3,OCE 206 or permission of instructor,
OCE394,3,OCE 315 or permission of instructor,
OCE408,4,"PHY 205, MCE 354, OCE 315 and OCE 301, or permission of instructor",
OCE416,2,,
OCE421,3,OCE 408 or permission of instructor,
OCE422,3,OCE 421,
OCE456,3,PHY 204 and permission of instructor,
OCE467,3,OCE 360 or permission of instructor,
OCE471,4,OCE 301 and PHY 205,
OCE472,3,471,
OCE483,3,CVE 381 or permission of instructor,
OCE491,6,permission of chairperson,
OCE492,6,permission of chairperson,
OCE495,3,"OCE 394, OCE 408, OCE 471, or permission of instructor",
OCE496,3,permission of instructor,"D1, B2"
OCG106G,3,,"A1, B4"
OCG108G,3,,D1
OCG110,3,,"A1, B4"
OCG111,3,,"A1, B3"
OCG120G,3,,"A1, B4"
OCG123G,3,,"A1, C2"
OCG131G,3,,"A1, B4"
OCG150,3,,
OCG200G,3,,"A1, C2"
OCG301,3,at least one year of biological or physical science with laboratory,
OCG309,4,,
OCG404,3,MTH 131 or MTH 141,
OCG420,3,"one semester general biology (BIO 100, 101, 102, 103, 104, 130, 141) and one semester general chemistry (CHM 101, 103)",
OCG423G,3,,D1
OCG440,4,GEO 103 or permission of instructor,
OCG451,3,"two semesters of MTH 131 and 132 or 141 and 142, one semester of CHM 101 and 102 or 191, one semester of PHY 111 and 185 or 203 and 273 or 213 and 285",
OCG480,3,one semester of general chemistry (CHM 101 or 103),
OCG483,3,PHY 381 and 382,
OCG484,3,PHY 381 and 382,"D1, B3"
OCG491,15,"junior standing in natural sciences, natural resources, or engineering, and permission of supervising faculty member",
OCG493,6,"junior or senior standing in natural science, natural resources, or engineering, and permission of instructor",
OCG494,6,"junior or senior standing in natural science, natural resources, or engineering, and permission of instructor",
OCS997,,,
OCS998,,,
OCS999,,,
OCSG997,,,
OCSG998,,,
OCSG999,,,
PHC316,1,"Successful completion of BPS 318, or permission of instructor",
PHC334,3,"Enrolled in the professional years of the PharmD, or the Bachelors of Pharmaceutical Sciences (BPS) program, or by permission of instructor",
PHC415,1,"Successful completion of PHC 316, or permission of instructor",
PHC416,1,"Successful completion of PHC 415, or permission of instructor",
PHL101,3,,"A3, B3"
PHL103,3,,"A3, B1"
PHL110G,3,,"A3, C3"
PHL110GH,3,,"A3, C3"
PHL114,3,,"A3, B1"
PHL204,3,,"A3, B1"
PHL205,3,,
PHL212,3,,"A3, C3"
PHL212H,3,must have a 3.40 overall GPA,"A3, C3"
PHL215,3,,"A1, B1"
PHL217,3,,"A3, C2"
PHL235,3,,"A3, C2"
PHL314,3,PHL 101 or 101H or 103 or 103H or one 200-level PHL course or permission of instructor,
PHL316G,3,"sophomore standing, PHL, ISE, or MCE major, or permission of instructor","A3, C1"
PHL316GH,3,"must have a 3.40 overall GPA, sophomore standing, and PHL, ISE, or MCE major, or permission of instructor","A3, C1"
PHL318,3,PHL 101 or 103 or one 200-level PHL course or permission of instructor,
PHL321,3,"PHL 101 or 103 or one 200-level PHL course, or permission of the instructor",
PHL322,3,,
PHL323,3,"PHL 101, or 103, or one 200-level PHL course, or permission of  instructor",
PHL324,3,PHL 101 or 103 or one 200-level PHL course or permission of instructor,
PHL325,3,PHL 01 or 103 or one 200-level PHL course or permission of instructor,
PHL328,3,PHL 101 or 103 or one 200-level PHL course or permission of instructor,
PHL331,3,PHL 101 or 103 or one 200-level PHL course or RLS 131 or permission of instructor,
PHL341,3,PHL 101 or 103 or one 200-level PHL course or permission of instructor,
PHL342,3,PHL 101 or 103 or one 200-level PHL course or permission of instructor,
PHL346,3,PHL 101 or 103 or one 200-level PHL course or permission of instructor,
PHL355,3,PHL 101 or 103 or one 200-level PHL course or permission of instructor,
PHL366,3,,"A3, C2"
PHL401,3,3 credits in philosophy and permission of instructor,
PHL402,3,3 credits in philosophy and permission of instructor,
PHL421G,4,RLS/PSC 221 or PSC 322 or PSC 211 or PSC 310,"A2, C3"
PHL451,3,"Any one of PHL 101, CSC 340, CSC/MTH 447, or MTH 180, or permission of instructor",
PHL452G,3,"PHL 101, 215, or 451, one 300-level PHL course, and 6 credits of natural science; or permission of instructor","D1, C2"
PHL477,3,Junior or senior standing or permission of the chair,"C1, D1"
PHL490,3,senior standing in philosophy or permission of instructor,
PHL499,3,senior standing and permission of instructor,
PHP100G,3,Freshman or sophomore standing,"A2, B2"
PHP201,3,Intended for freshmen and sophomores,
PHP203G,3,,A2
PHP207G,3,Sophomore or higher standing,A2
PHP300,1,"Current or concurrent enrollment in PHC515, PharmD P3 or P4 student, or by permission of instructor",
PHP303,1,First year Doctor of Pharmacy student,
PHP307,3,First-year Doctor of Pharmacy student,
PHP308,3,"PHP 307, First-year Doctor of Pharmacy student; or permission of instructor",B4
PHP309,3,"Second/third year PHARM-D students in good standing, or third/fourth year Pharmaceutical Science BS students in good standing",
PHP315,3,First professional year Doctor of Pharmacy student,
PHP327,3,First professional year Doctor of Pharmacy student,
PHP328,4,First professional year Doctor of Pharmacy student,
PHP336G,3,Junior standing or higher,"D1, C1"
PHP336GH,3,Junior standing or higher,"D1, C1"
PHP340,1,First year Doctor of Pharmacy professional student in good standing or permission of instructor,
PHP350,1,First-year Doctor of Pharmacy professional student in good standing or permission of instructor,
PHP360,3,first-year Doctor of Pharmacy professional student in good standing or permission of the instructor,
PHP405,4,"STA 307, STA 308, STA 409, or PSY 200","D1, B4"
PHP405H,4,"STA307, STA308, STA409, or PSY200","D1, B4"
PHP407,3,"PHP 308, Second-year Doctor of Pharmacy student; or permission of instructor",
PHP408,3,"PHP 407, Second-year Doctor of Pharmacy student; or permission of instructor",
PHP411,4,"STA 307, or 308, or 409, or permission of instructor",
PHP415,3,Second-year Doctor of Pharmacy student (P2) or permission of the instructor,P2
PHP418,3,second-year Doctor of Pharmacy Student; PHP 315,
PHP426,3,"Second professional year of Doctor of Pharmacy; or health science majors in their third year or higher; or pre-health students in their third year or higher, or current healthcare professional; or permission of instructor",
PHP427,4,Second professional year Doctor of Pharmacy student,
PHP428,4,Second professional year Doctor of Pharmacy student,
PHP430,3,"PHP 328, second- or third-year Doctor of Pharmacy professional student in good standing or permission of the instructor",
PHP450,2,Second year Doctor of Pharmacy professional student or permission of instructor,
PHP451,2,Second year Doctor of Pharmacy professional student or permission of instructor,
PHP452,1,Second year Doctor of Pharmacy professional student or permission of instructor,
PHP460,3,third-year Doctor of Pharmacy professional student in good standing or permission of the instructor,
PHP464,3,Pharmacy students who are in second professional year standing in the PharmD curriculum or other interested students with permission of instructor,
PHP497,3,permission of chairperson,
PHP498,3,permission of chairperson,
PHT440,3,,
PHY109,3,concurrent enrollment in PHY 110,A1
PHY110,1,concurrent enrollment in PHY 109,A1
PHY111,3,concurrent enrollment in PHY 185,"A1, B3"
PHY112,3,concurrent enrollment in PHY 186,"A1, B3"
PHY185,1,concurrent enrollment in PHY 111,"A1, B3"
PHY186,1,concurrent enrollment PHY 112,"A1, B3"
PHY203,3,credit or concurrent enrollment in MTH 141 and concurrent enrollment in PHY 273,A1
PHY203H,3,must have a 3.40 overall GPA,A1
PHY204,3,"PHY 203, credit or concurrent enrollment in MTH 142, and concurrent enrollment in PHY 274",A1
PHY204H,3,must have a 3.40 overall GPA,A1
PHY205,3,"PHY 203, credit or concurrent enrollment in MTH 243 or MTH 362, and concurrent enrollment in PHY 275","A1, B3"
PHY205H,3,must have a 3.40 overall GPA,"A1, B3"
PHY210,1,,
PHY273,1,concurrent enrollment in PHY 203,A1
PHY273H,1,Must have a 3.40 overall GPA,A1
PHY274,1,concurrent enrollment in PHY 204,A1
PHY274H,1,must have a 3.40 overall GPA,A1
PHY275,1,Concurrent enrollment in PHY 205,"A1, B3"
PHY275H,1,must have a 3.40 overall GPA,"A1, B3"
PHY306,3,PHY 204 and 205,
PHY322,3,PHY 204 and MTH 244,
PHY331,3,PHY 204 and MTH 243,
PHY334,3,PHY 112 or 205,
PHY381,3,PHY 204 and 205,
PHY382,3,PHY 205 or HPR 322,
PHY401,1,,
PHY402,1,,
PHY410,3,MTH 215 and CSC 200 or CSC 201 or CSC 211,
PHY420,3,PHY 205 and MTH 243,
PHY430,3,MTH 244,
PHY451,3,"PHY 306 and 322, and MTH 215, and 244",
PHY455,3,PHY 451 and MTH 243,
PHY483,3,PHY 381 and 382,
PHY484,3,PHY 381 and 382,"D1, B3"
PHY491,6,,
PHY492,6,,
PHY930,3,teacher certification,
PLA100,1,matriculated status and permission of the student's academic dean,
PLS132G,3,,A2
PLS132GH,3,3.40 overall GPA,A2
PLS150,3,,A1
PLS190,3,,A1
PLS200,4,BIO 102 or PLS 150 or permission of instructor,
PLS210,2,credit or concurrent enrollment in 200 or permission of instructor,
PLS215,3,BIO 102 or PLS 150 or permission of instructor,
PLS216,2,PLS 215 or concurrent enrollment,
PLS250,3,BIO 102 or PLS 150 or permission of instructor,
PLS255,3,BIO 102 or PLS 150 or permission of instructor,
PLS275,4,AVS 101 and 102 or permission of instructor,
PLS306,4,BIO 102 or PLS 150 or permission of instructor,
PLS311,3,BIO 102 or PLS 150 or permission of instructor,
PLS312,2,PLS 150,
PLS320,3,,
PLS321,4,PLS 132G or PLS 150 or BIO 102 or permission of instructor,
PLS322,3,,
PLS324,4,PLS 150 or BIO 102 or permission of instructor,"D1, B4"
PLS325,2,PLS 150 or BIO 102 or permission of instructor,
PLS331,4,BIO 102 or PLS 150 or permission of instructor,
PLS332,4,BIO 102 or PLS 150 or permission of instructor,
PLS341,3,BIO 102 or PLS 150 or permission of instructor,
PLS350,3,BIO 102 or PLS 150 or permission of instructor,
PLS353,3,BIO 102 or PLS 150,
PLS354,3,LAR 353 or PLS 353,
PLS361,3,BIO 102 or PLS 150 or permission of instructor,
PLS385,3,,
PLS399,6,BIO 102 or PLS 150 or permission of instructor,
PLS402,1,,
PLS491,3,permission of instructor,
PLS492,3,permission of instructor,
PLS498,3,"Senior standing, previous enrollment in the course to be taught, and permission of instructor",
POR101,3,no prior Portuguese is required,"A3, C2"
POR102,3,,"A3, C2"
POR103,3,,"A3, C2"
POR104,3,,"A3, C2"
POR205,3,"POR 104, or permission of instructor",
POR206,3,"POR 205 or equivalent, or permission of instructor",
POR335,3,POR 206 or equivalent or permission of instructor,
POR497,3,"one 300-level course in Portuguese, acceptance of project by faculty member, and approval of chair",
PRS100,3,"Exploring Harrington (AS_EHAR_BA) or declared PR Majors, Minors",
PRS200,3,PRS100 or permission of instructor,
PRS300,4,"PRS 100 and majors or minors in Comm Studies, Sports Media, or PR",
PRS320,3,Students admitted to PR Major and WRT 331,
PRS331,3,any 200-level or above WRT course; PR and WRT majors only,
PRS340,3,PRS 100 and declared PR majors or PR minors,
PRS341,3,"junior standing and JOR 220 or WRT 331/PRS 331, and major in journalism or public relations, or permission of instructor",
PRS360,3,"PRS 100 or COM 100, and COM 203 or SMC 220, or permission of instructor",
PRS370,3,"COM100 or PRS100, and COM203 or permission of the instructor",
PRS441,3,PRS 340,D1
PRS442,3,"Junior standing; open only to majors in Communication Studies, Public Relations, Journalism, and Writing",
PRS477,6,"public relations majors only; PRS  331, 332, 340",
PRS490,3,Permission of the instructor,
PSC113,4,,"A2, C1"
PSC116G,4,,"A2, C2"
PSC210,4,,
PSC211,4,,
PSC221,4,,"A3, C2"
PSC227,3,,
PSC274H,3,3.40 or higher overall GPA,
PSC300,4,3 credits in the social sciences recommended or permission of instructor,
PSC303,4,PSC 113 or 210 or PSC 116 or 211 or permission of instructor,
PSC305,4,PSC 113 or 210,
PSC306,4,,"A2, C1"
PSC310,4,,
PSC312,4,PSC 113 or 116 or permission of instructor,
PSC320,4,,
PSC321,4,PSC 116 or 210 or 211 or permission of instructor,
PSC322,4,RLS 221 or PSC 116 or PSC 211,
PSC325,4,PSC 113 or PSC 116G or permission of the instructor,
PSC330,4,PSC 113 or 210,
PSC333,4,ECN 201,
PSC334,4,PSC 113 or permission of the instructor,
PSC341,4,,
PSC342,4,PSC 113 or 210 and PSC 116 or 211,
PSC344,3,ECN 100 or 202 or permission of instructor,
PSC350,4,PSC 116 or 211,
PSC360,4,PSC 113 or PSC 116G or permission of instructor,
PSC367,4,PSC 113 or 210,
PSC368,4,PSC 113 or 210,
PSC369,4,PSC 113 or 210,
PSC370,4,"PSC 113 or 210 or PSC 116 or 211, or permission of instructor",
PSC371,4,,
PSC375,3,12 credits in the social sciences including 6 credits in political science and permission of instructor,
PSC376,3,12 credits in the social sciences including 6 credits in political science and permission of instructor,
PSC377,4,PSC 116 or 211 or equivalent,
PSC380,3,,
PSC388,4,PSC 113 or PSC 210 or PSC 310 or PSC 274 or permission of instructor,
PSC402,4,PSC 113 or 210 and junior or senior standing,D1
PSC405,4,PSC 310 or HDF 202 or permission of the instructor,"D1, B3"
PSC408,4,"PSC 113 or 210, and PSC 116 or 211",
PSC408H,4,"PSC 113 or 210, and PSC 116 or 211, and 3.40 or better overall GPA",
PSC410,3,APG 313 or PSC 201 or HIS 388 or permission of instructor,
PSC415,3,,
PSC416,4,sophomore standing or permission of instructor,"D1, C2"
PSC417,4,Sophomore standing or permission of instructor,"D1, C2"
PSC419,4,PSC 210 or PSC 211 or permission of the instructor,D1
PSC421G,4,RLS/PSC 221 or PSC 322 or PSC 211 or PSC 310,"A2, C3"
PSC422,4,PSC 210 or 211 or 310 or permission of the instructor,"D1, C2"
PSC431,4,PSC 212 or 310 or permission of instructor,"D1, C2"
PSC434,4,PSC 210 or 211 or 310 or permission of instructor,"D1, C2"
PSC435,4,PSC 210 or 211 or 310 or permission of the instructor,D1
PSC441,4,PSC 113 or PSC 210 or PSC 310 or permission of instructor,"C3, D1"
PSC443,4,PSC 240 or 341 or 342 or any 300-level philosophy course or permission of instructor,
PSC455,3,permission of chairperson,
PSC456,3,permission of chairperson,
PSC461,4,PSC 113 or 210 and 212 or 310 or permission of instructor,D1
PSC465,4,PSC 113 or 210,D1
PSC466,3,PSC 113 or 210,
PSC466H,3,"PSC 113 or 210, and 3.40 overall GPA",
PSC472,4,"PSC/SOC 274 or PSC 334 or PSC 371 or PSC 388, or permission of instructor",D1
PSC482,4,PSC 210 or PSC 211 or PSC 310,
PSC484,4,,"C3, D1"
PSC491,4,PSC 210 or 211 or 310,D1
PSC492,4,PSC 113 and 116,
PSY103,3,,"A2, B1"
PSY113,3,,A2
PSY130G,3,,"A2, C1"
PSY200,4,"PSY 113, at least one college-level mathematics course, and sophomore standing",
PSY205G,3,,"A1, B4"
PSY232,3,PSY 113,A2
PSY235,3,PSY 113,
PSY254,3,PSY 113,
PSY255,3,,
PSY260,3,PSY 113; PSY BS major or permission of instructor,
PSY276G,3,PSY 113,"A2, B4"
PSY301,4,"PSY200 or PSY200H or STA307 or STA308; and WRT104 or WRT106 or WRT332, or equivalent","D1, B4"
PSY305,3,PSY 113 and permission of instructor,
PSY310,3,PSY 113,
PSY311,3,PSY113 and PSY200,
PSY324,3,PSY 103 or 113,
PSY334,3,PSY 254,
PSY335,3,PSY 113 and junior standing or permission of instructor,
PSY340,3,PSY 200 and PSY 301 or permission of instructor,
PSY361,3,PSY 301 or permission of instructor,
PSY381,3,junior standing,
PSY384,3,PSY113 and PSY301 or equivalent,
PSY399,3,PSY 113 or 103,
PSY412,3,PSY 113,
PSY420,3,ISE 311 (411) / MCE 411 or STA 412 or permission of instructor,
PSY425,3,"Prior coursework in psychology, or permission of instructor",
PSY432,3,PSY 232,
PSY434,3,PSY200 or STA307 or STA308,
PSY435,3,"Grades of C or higher in PSY301 and PSY434, and either STA308 or PSY200, or by permission of instructor",
PSY436,3,"any one of the following--BIO 101, 104B, 113, 121, PSY 381, or permission of instructor",
PSY442,3,junior or senior standing,
PSY460,3,,
PSY471,3,PSY 361 or permission of instructor,
PSY473,3,PSY 471 or permission of instructor,
PSY477,1,sophomore standing or above,
PSY479,3,PSY 113 or permission of instructor,
PSY480,3,PSY 113 and at least one 200-level psychology course,
PSY488,3,permission of instructor,
PSY496,3,Permission of instructor,
PSY499,6,permission of instructor,
RIC0,,,
RLS111,3,,"A3, C2"
RLS131,3,,A3
RLS221,4,,"A3, C2"
RLS226,3,,"A3, B4"
SAF101G,3,,A2
SAF305,3,Sophomore Standing (B1) (C2),"B1, C2"
SAF383,3,Sophomore standing,"A2, C3"
SAF399,12,Students must have completed one semester at URI with a GPA above 2.0 and be a current or prospective SAFS major or minor; cannot be counted for concentration credit in SAF; permission of instructor,
SAF400G,3,junior standing,D1
SAF404,3,Senior in good standing or permission of instructor,"D1, B4"
SAF498,3,Sophomore standing; for majors only; not for major credit in SAF; B or higher in course; permission of instructor,
SCA255,3,at least 24 credits or permission from instructor,
SCA359,3,"BAI (BUS) 210 or STA 308, and SCA (BUS) 255 or ISE 240 or ISE 261G, or permission of instructor",
SCA360,3,SCA 255 (BUS 355),
SCA361,3,SCA 255 (BUS 355),
SCA390,1,,
SCA410,3,SCA (BUS) 359 including completion of Yellow Belt designation,
SCA415,3,BAI (BUS) 210 or STA 308 or ISE 311 or permission of instructor,
SCA459,3,BAI (BUS) 211 or BAI (BUS) 212 or permission of instructor,
SCA460,3,SCA 255 (BUS 355) and junior standing in a degree granting college,
SCA462,3,SCA (BUS) 360 and SCA (BUS) 460,
SCA463,3,SCA (BUS) 360 or MBA 560,
SCA464,3,SCA 255 (BUS 355) and SCA (BUS) 460,
SCA491,3,must be a student in the College of Business with more than 75 credits and permission of instructor,
SCA492,3,must be a student in the College of Business with more than 75 credits and permission of instructor,
SCA493,6,"admission into internship program, and permission of instructor",
SCM101,3,,"B4, C2"
SCM105,3,,
SCM201,4,,
SCM202,4,,
SCM312,4,sophomore standing,
SCM477,0,permission number required,
SCM495,3,senior standing,D1
SMC220,3,"COM 100, and declared major or minor in Sports Media and Communication",
SMC303,3,"COM 203, declared majors and minors in Sports Media and Communication, and minimum of 45 credits in degree granting college",
SMC477,6,"60 credits, 2.50 GPA; junior standing in a degree-granting college and permission of instructor",
SMC495,3,For SMC Majors only,
SOC100,3,,"A2, C3"
SOC100H,3,Overall GPA of 3.4 or higher,"A2, C3"
SOC200,3,,
SOC204,3,,
SOC212,3,,A2
SOC224,3,,"A2, C3"
SOC224H,3,,"A2, C3"
SOC230,3,,A2
SOC230H,3,,A2
SOC240,3,,"C3, A2"
SOC242,3,,"A2, C3"
SOC290,3,"Two 100-200 level SOC courses, open only to SOC majors, or permission of instructor",A2
SOC301,3,"Two 100-200 level SOC courses, open only to SOC and CCJ majors, or permission of instructor",
SOC303,3,Permission of instructor,
SOC308,3,sophomore standing,
SOC308H,3,3.40 overall gpa and sophomore standing,
SOC333,3,"Completed two 100-200 level Sociology courses, or permission of instructor",C3
SOC336,3,"Two 100-200 level SOC courses, or permission of instructor",
SOC340,3,SOC 100 or MAF 100,
SOC350,3,"Two 100-200 level SOC courses, or permission of instructor",
SOC360,3,"Two 100-200 level SOC courses, open only to SOC majors, or permission of instructor",
SOC377,3,Permission of instructor,
SOC395,3,"SOC 290 and one 300 level SOC course, open only to majors, or permission of instructor",
SOC400,3,"SOC 301 and 395, or permission of instructor",
SOC413,3,"SOC 242 and one 300 level SOC course, or permission of instructor",
SOC415,3,"One 300 level SOC or APG course, or permission of instructor",
SOC420,3,"One 300 level SOC course, or permission of instructor",
SOC428,3,one 300-level sociology course or permission of instructor,
SOC430,3,"One 300 level SOC or 300 level PSY course, or permission of instructor",
SOC431,3,"HDF 202 or SOC 301, or permission of instructor",
SOC432,3,"One 300 level SOC course, or permission of instructor",
SOC437,3,HDF 200 and 230 or SOC 212,
SOC438,3,"One 300 level SOC course, or permission of instructor",
SOC452,3,"One 300 level SOC course, or permission of instructor",
SOC475G,3,"300-level coursework in sociology, anthropology, gender and women's studies, or health studies; or permission of the instructor","A2, C2"
SOC477,6,By permission of instructor only,
SOC495,3,"SOC 290 and one 300 level SOC course, open only to SOC majors, or permission of instructor",D1
SOC498,3,one 300-level sociology course and permission of instructor,
SOC499,3,one 300-level sociology course and permission of instructor,
SPA101,3,,"C2, A3"
SPA102,3,Students enrolling in this course should have taken SPA 101 or equivalent,"C2, A3"
SPA103,3,Students enrolling in this course should have taken SPA 102 or equivalent,"A3, C2"
SPA104,3,Students enrolling in this course should have taken SPA 103 or equivalent,"C2, A3"
SPA110,3,,"A3, C2"
SPA205,3,Students enrolling in this course should have taken SPA 104 or equivalent,"A3, C2"
SPA206,3,Students enrolling in this course should have taken SPA 205 or equivalent,"C2, A3"
SPA207,3,,"C2, A3"
SPA210,3,"Open only to heritage speakers of Spanish (people who grew up speaking Spanish at home, but completed most or all of their formal schooling in a language other than Spanish)","A3, C3"
SPA305,3,"SPA 206 or SPA 210, or permission of instructor",
SPA306,3,"SPA 206 or SPA 210, or permission of instructor",
SPA307,3,"SPA 206 or SPA 210, or permission of instructor",
SPA308,3,"SPA 206 or SPA 210, or permission of instructor",
SPA310,6,SPA 104 or permission of instructor,
SPA312,3,"SPA 206 or SPA 210, or permission of instructor",
SPA313,3,SPA 206 or 210 or permission of the instructor,
SPA316,6,SPA 321,
SPA317,6,SPA 321,
SPA320,3,,
SPA321,3,"SPA 206 or SPA 210, or permission of instructor","D1, B2"
SPA325,3,SPA 206 or permission of instructor,
SPA401,3,SPA 325 or permission of instructor,
SPA412,3,any 400-level course in Spanish and senior standing in an approved engineering program,
SPA413,3,any 300-level SPA course or permission of the instructor,
SPA414,3,Any SPA 300-level course or permission of the instructor,
SPA415,3,Any SPA 300-level course or permission of the instructor,
SPA416,3,Any 300-level SPA course or permission of the instructor,
SPA419,3,SPA 312 or SPA 313 or permission of instructor,
SPA421,3,credit or concurrent enrollment in a 300-level Spanish course,
SPA430,3,SPA 325 or permission of instructor,
SPA431,3,SPA 325 or permission of instructor,
SPA471,3,SPA 325 or permission of instructor,
SPA472,3,SPA 325 or permission of instructor,
SPA473,3,SPA 325 or permission of instructor,
SPA481,3,SPA 325 or permission of instructor,
SPA485,3,SPA 325 or permission of instructor,
SPA488,3,SPA 325 or permission of instructor,
SPA489,3,SPA 325 or permission of instructor,
SPA497,3,"SPA 325, acceptance of project by faculty member, and approval of section head",
SPA498,3,"SPA 325, acceptance of project by faculty member, and approval of section head",
SPC201,3,,
SPC315,3,SPC 201 or permission of instructor,
SPC420,3,SPC 201 or permission of instructor,
SPC480,6,SPC 201 or permission on instructor,
